TC ID,Test type,Test case Name,Description,Actions,Expected Results,Test Repository Path,Status,User story,Priority
TC-1383-01,Manual,Default Values Auto-populate,Verify default fields auto-populate when creating a new ezdocs record,"1. Open the EZdocs application and navigate to New Record
2. Select coverage type: Described Causes - Flood
3. Leave deductible fields blank and proceed to next step
4. Observe populated fields","Default fields such as Policy Effective Date, Coverage Type and Deductible defaults are populated according to the system rules defined in the logic file and match expected default values.",/workspaces/testcase1/1_Base_Repo/User_Story/EZ-1383-Logic.csv,Draft,EZ-1383.doc,Medium
TC-1383-02,Manual,Deductible Percent Population - Positive,Verify deductible percent selection populates related deductible amount using defined mapping,"1. Open an existing policy in EZdocs
2. Navigate to coverage details for Described Causes - Flood
3. Select Deductible Type: Percent and choose a valid deductible percent value from dropdown
4. Save changes and review populated Deductible Amount field","When a valid Deductible Percent is selected the Deductible Amount is calculated and populated per mapping in Logic_1383.csv. Values match the expected calculated amounts.",/workspaces/testcase1/1_Base_Repo/User_Story/EZ-1383-Logic.csv,Draft,EZ-1383.doc,High
TC-1383-03,Manual,Deductible Percent Population - Negative,Verify system behavior when Deductible Percent and Deductible Amount conflict or invalid percent provided,"1. Open coverage details for Described Causes - Flood
2. Manually enter an invalid Deductible Percent (outside allowed range) or mismatch percent/amount
3. Attempt to save the record
4. Observe validation or error behavior","The system displays appropriate validation messages and prevents saving when Deductible Percent is invalid or inconsistent with allowed mappings. No incorrect amounts are persisted.",/workspaces/testcase1/1_Base_Repo/User_Story/EZ-1383-Logic.csv,Draft,EZ-1383.doc,High
TC-1383-04,Manual,Minimum Deductible Population,Verify minimum deductible values populate correctly based on selection,"1. Navigate to Described Causes - Flood coverage
2. Select deductible configuration that triggers minimum deductible rule
3. Save and review deductible fields","Minimum Deductible values are populated per rules in Logic_1383.csv. System enforces minimums and displays applicable messages when minimums apply.",/workspaces/testcase1/1_Base_Repo/User_Story/EZ-1383-Logic.csv,Draft,EZ-1383.doc,High
TC-1383-05,Manual,Time Specification Population,Verify Time Specification values populate correctly based on selections,"1. Open coverage settings for Described Causes - Flood
2. Select options that map to specific TimeSpecification values per logic
3. Save and review Time Specification fields","Time Specification fields populate with expected values defined in the logic file and reflect correct qualifying periods or time limits.",/workspaces/testcase1/1_Base_Repo/User_Story/EZ-1383-Logic.csv,Draft,EZ-1383.doc,Medium
TC-1383-06,Manual,Flood Mapping Scenario A,Validate mapping scenario A for Described Causes - Flood coverage (positive path),"1. Create a new record and select mapping parameters for Flood Mapping Scenario A
2. Complete required fields per Template_ips_1383.md guidance
3. Save and follow workflow to coverage summary","All field mappings for Scenario A reflect values from Logic_1383.csv and navigation follows patterns in navigation_steps.md. Coverage summary shows mapped values correctly.",/workspaces/testcase1/1_Base_Repo/User_Story/EZ-1383-Logic.csv,Draft,EZ-1383.doc,Medium
TC-1383-07,Manual,Flood Mapping Scenario B - Negative,Validate mapping scenario B negative variations for Described Causes - Flood coverage,"1. Create a new record and select parameters for Flood Mapping Scenario B (invalid combination)
2. Attempt to proceed through workflow
3. Observe system handling and messages","System handles invalid mapping combinations by preventing progression or by showing corrective validations; coverage is not incorrectly applied.",/workspaces/testcase1/1_Base_Repo/User_Story/EZ-1383-Logic.csv,Draft,EZ-1383.doc,MediumTC ID,Test type,Test case Name,Description,Actions,Expected Results,Test Repository Path,Status,User story,Priority
EZ-1383_TC_001,Manual,Deductibles Percent - Scenario 1,Verify PD and TE deductibles populate when Deduct % value selected,"1. Login to EZdocs
2. Create/open a policy
3. Navigate to Coverages and select Described Causes - Flood
4. For Deductible selection choose 'Deduct % value'
5. Observe PD and TE deductible fields","PD Deductible and TE Deductible auto-populate with the specified Deduct % value as per logic.
Fields are visible and editable where applicable.",/workspaces/testcase1/1_Base_Repo/User_Story/EZ-1383.doc,Not Executed,EZ-1383,Medium
EZ-1383_TC_002,Manual,Deductibles Percent - Scenario 2,Verify combined coverages deductible when 100% Deduct Value applies,"1. Login to EZdocs
2. Create/open a policy
3. Navigate to Coverages and select Described Causes - Flood
4. Select Deductible Amount set to '100% Deduct Value' for Combined Coverages
5. Observe Combined Coverages Deductible field","Combined Coverages Deductible populates with '100% Deduct Value' for combined coverages as per logic.",/workspaces/testcase1/1_Base_Repo/User_Story/EZ-1383.doc,Not Executed,EZ-1383,Medium
EZ-1383_TC_003,Manual,Deductibles Percent - Scenario 3,Verify PD deductible when Deduct % selected for PD only,"1. Login to EZdocs
2. Open a policy
3. Select Described Causes - Flood
4. For Deductible, choose Deduct % value and apply to PD only
5. Observe PD and TE deductible fields","PD Deductible auto-populates with Deduct % value; TE Deductible remains empty as per logic.",/workspaces/testcase1/1_Base_Repo/User_Story/EZ-1383.doc,Not Executed,EZ-1383,Medium
EZ-1383_TC_004,Manual,Deductibles Percent - Scenario 4,Verify PD deductible shows 100% Deduct Value when selected for PD only,"1. Login to EZdocs
2. Open policy
3. Select Described Causes - Flood
4. Set Deductible Amount to '100% Deduct Value' applied to PD
5. Observe PD and TE deductible fields","PD Deductible shows '100% Deduct Value'. TE Deductible NCP is Selected and TE Deductible is Not Visible, matching logic.",/workspaces/testcase1/1_Base_Repo/User_Story/EZ-1383.doc,Not Executed,EZ-1383,Medium
EZ-1383_TC_005,Manual,Deductibles Percent - Scenario 5,Verify BI-only case with Deduct % value,"1. Login to EZdocs
2. Open policy
3. Select Described Causes - Flood
4. Apply Deduct % value to BI only
5. Observe PD and TE deductibles","PD Deductible empty; TE Deductible populates with Deduct % value, per logic expectations.",/workspaces/testcase1/1_Base_Repo/User_Story/EZ-1383.doc,Not Executed,EZ-1383,Medium
EZ-1383_TC_006,Manual,Deductibles Percent - Scenario 6,Verify BI-only with 100% Deduct Value,"1. Login to EZdocs
2. Open policy
3. Select Described Causes - Flood
4. Apply 100% Deduct Value to BI
5. Observe PD and TE deductibles","PD Deductible set to '100% Deduct Value'; TE Deductible NCP is Selected and TE Deductible is Not Visible, as specified.",/workspaces/testcase1/1_Base_Repo/User_Story/EZ-1383.doc,Not Executed,EZ-1383,Medium
EZ-1383_TC_007,Manual,Deductibles Percent - Scenario 7,Verify PD with Days (ADV) and Deduct % value,"1. Login to EZdocs
2. Open policy
3. Select Described Causes - Flood
4. Choose Days (ADV) time basis and select Deduct % value applying to PD
5. Observe PD and TE deductibles","PD Deductible populates with Deduct % value; TE Deductible remains empty, matching logic.",/workspaces/testcase1/1_Base_Repo/User_Story/EZ-1383.doc,Not Executed,EZ-1383,Medium
EZ-1383_TC_008,Manual,Deductibles Percent - Scenario 8,Verify ADV time basis with 100% Deduct Value for PD,"1. Login to EZdocs
2. Open policy
3. Select Described Causes - Flood
4. Choose Days (ADV) and set 100% Deduct Value
5. Observe PD and ADV TE deductible fields","PD Deductible set to '100% Deduct Value'; ADV TE Deductible remains empty as per logic.",/workspaces/testcase1/1_Base_Repo/User_Story/EZ-1383.doc,Not Executed,EZ-1383,Medium
EZ-1383_TC_009,Manual,Deductibles Percent - Scenario 9,Verify BI with Days (ADV) and Deduct % value,"1. Login to EZdocs
2. Open policy
3. Select Described Causes - Flood
4. Choose Days (ADV) and apply Deduct % value to BI
5. Observe TE Deductible fields","TE Deductible populates with Deduct % value; PD Deductible remains empty per logic.",/workspaces/testcase1/1_Base_Repo/User_Story/EZ-1383.doc,Not Executed,EZ-1383,Medium
EZ-1383_TC_010,Manual,Deductibles Percent - Scenario 10,Verify ADV with 100% Deduct Value for BI,"1. Login to EZdocs
2. Open policy
3. Select Described Causes - Flood
4. Choose Days (ADV) and set 100% Deduct Value for BI
5. Observe ADV TE Deductible","ADV TE Deductible set to '100% Deduct Value' and PD Deductible empty, as specified.",/workspaces/testcase1/1_Base_Repo/User_Story/EZ-1383.doc,Not Executed,EZ-1383,Medium
EZ-1383_TC_011,Manual,Deductibles Percent - Scenario 15,Verify PD with Days (DV) and Deduct % value,"1. Login to EZdocs
2. Open policy
3. Select Described Causes - Flood
4. Choose Days (DV) time basis and apply Deduct % value to PD
5. Observe PD and TE deductibles","PD Deductible populates with Deduct % value; TE Deductible remains empty per logic.",/workspaces/testcase1/1_Base_Repo/User_Story/EZ-1383.doc,Not Executed,EZ-1383,Medium
EZ-1383_TC_012,Manual,Deductibles Percent - Scenario 16,Verify DV time basis with 100% Deduct Value for PD,"1. Login to EZdocs
2. Open policy
3. Select Described Causes - Flood
4. Choose Days (DV) and set 100% Deduct Value
5. Observe TE Days Deductible","TE Days Deductible empty and PD Deductible set to '100% Deduct Value' according to logic.",/workspaces/testcase1/1_Base_Repo/User_Story/EZ-1383.doc,Not Executed,EZ-1383,Medium
EZ-1383_TC_013,Manual,Deductibles Percent - Scenario 17,Verify BI with Days (DV) and Deduct % value,"1. Login to EZdocs
2. Open policy
3. Select Described Causes - Flood
4. Choose Days (DV) and apply Deduct % value to BI
5. Observe TE Deductible","TE Deductible populates with Deduct % value; PD Deductible empty as specified.",/workspaces/testcase1/1_Base_Repo/User_Story/EZ-1383.doc,Not Executed,EZ-1383,Medium
EZ-1383_TC_014,Manual,Deductibles Percent - Scenario 18,Verify DV with 100% Deduct Value for BI,"1. Login to EZdocs
2. Open policy
3. Select Described Causes - Flood
4. Choose Days (DV) and set 100% Deduct Value for BI
5. Observe TE Days Deductible","TE Days Deductible set to '100% Deduct Value' and PD Deductible empty, per logic.",/workspaces/testcase1/1_Base_Repo/User_Story/EZ-1383.doc,Not Executed,EZ-1383,Medium
EZ-1383_TC_015,Manual,Deductibles Percent - Scenario 11,Verify PD with Days (TD) and Deduct % value,"1. Login to EZdocs
2. Open policy
3. Select Described Causes - Flood
4. Choose Days (TD) and apply Deduct % value to PD
5. Observe PD and TE deductibles","PD Deductible populates with Deduct % value; TE Deductible empty as per logic.",/workspaces/testcase1/1_Base_Repo/User_Story/EZ-1383.doc,Not Executed,EZ-1383,Medium
EZ-1383_TC_016,Manual,Deductibles Percent - Scenario 12,Verify TD time basis with 100% Deduct Value for PD,"1. Login to EZdocs
2. Open policy
3. Select Described Causes - Flood
4. Choose Days (TD) and set 100% Deduct Value
5. Observe DV TE Deductible","DV TE Deductible empty and PD Deductible set to '100% Deduct Value' according to logic.",/workspaces/testcase1/1_Base_Repo/User_Story/EZ-1383.doc,Not Executed,EZ-1383,Medium
